symbol,company,price,market_cap,pe_ratio,sector,industry,headquarters,date_added,founded
FISV,Fiserv,54.43,29030000000,9.2,Financials,Transaction & Payment Processing Services,"Brookfield,  Wisconsin",2001-04-02,1984
F,Ford Motor Company,14.9,59370000000,,Consumer Discretionary,Automobile Manufacturers,"Dearborn,  Michigan",1957-03-04,1903
FTNT,Fortinet,144.68,106000000000,56.1,Information Technology,Systems Software,"Sunnyvale,  California",2018-10-11,2000
FTV,Fortive,61.28,18680000000,36.0,Industrials,Industrial Machinery & Supplies & Components,"Everett,  Washington",2016-07-01,2016
FOXA,Fox Corporation (Class A),66.89,28110000000,17.6,Communication Services,Broadcasting,"New York City,  New York",2019-03-19,2019
FOX,Fox Corporation (Class B),59.88,25160000000,15.8,Communication Services,Broadcasting,"New York City,  New York",2019-03-19,2019
BEN,Franklin Resources,31.33,16280000000,23.9,Financials,Asset Management & Custody Banks,"San Mateo,  California",1998-04-30,1947
FCX,Freeport-McMoRan,63.37,91100000000,33.5,Materials,Copper,"Phoenix,  Arizona",2011-07-01,1912
GRMN,Garmin,236.57,45620000000,26.4,Consumer Discretionary,Consumer Electronics,"Schaffhausen,  Switzerland",2012-12-12,1989
IT,Gartner,164.02,10980000000,16.2,Information Technology,IT Consulting & Other Services,"Stamford,  Connecticut",2017-04-05,1979
GE,GE Aerospace,328.0,342700000000,40.8,Industrials,Aerospace & Defense,"Evendale,  Ohio",1957-03-04,1892
GEHC,GE HealthCare,64.67,29420000000,15.5,Health Care,Health Care Equipment,"Chicago,  Illinois",2023-01-04,1994
GEV,GE Vernova,933.61,250880000000,27.3,Industrials,Heavy Electrical Equipment,"Cambridge,  Massachusetts",2024-04-02,2024
GEN,Gen Digital,26.28,15830000000,16.7,Information Technology,Systems Software,"Tempe,  Arizona",2003-03-25,1982
GNRC,Generac,261.54,15400000000,82.0,Industrials,Electrical Components & Equipment,"Waukesha,  Wisconsin",2021-03-22,1959
GD,General Dynamics,346.44,93690000000,21.8,Industrials,Aerospace & Defense,"Reston,  Virginia",1957-03-04,1899
GIS,General Mills,33.15,17690000000,8.1,Consumer Staples,Packaged Foods & Meats,"Golden Valley,  Minnesota",1957-03-04,1856
GM,General Motors,82.11,74040000000,30.0,Consumer Discretionary,Automobile Manufacturers,"Detroit,  Michigan",2013-06-06,1908
GPC,Genuine Parts Company,98.15,13650000000,223.1,Consumer Discretionary,Distributors,"Atlanta,  Georgia",1973-12-31,1925
GILD,Gilead Sciences,129.16,160360000000,17.6,Health Care,Biotechnology,"Foster City,  California",2004-07-01,1987
GPN,Global Payments,66.32,18140000000,24.4,Financials,Transaction & Payment Processing Services,"Atlanta,  Georgia",2016-04-25,2000
GL,Globe Life,159.18,12360000000,11.0,Financials,Life & Health Insurance,"McKinney,  Texas",1989-04-30,1900
GDDY,GoDaddy,84.38,11170000000,13.4,Information Technology,Internet Services & Infrastructure,"Tempe,  Arizona",2024-06-24,1997
GS,Goldman Sachs,1038.68,306420000000,19.0,Financials,Investment Banking & Brokerage,"New York City,  New York",2002-07-22,1869
HAL,Halliburton,39.18,32730000000,21.6,Energy,Oil & Gas Equipment & Services,"Houston,  Texas",1957-03-04,1919
HIG,Hartford (The),132.14,36220000000,9.3,Financials,Property & Casualty Insurance,"Hartford,  Connecticut",1957-03-04,1810
HAS,Hasbro,84.18,11910000000,,Consumer Discretionary,Leisure Products,"Pawtucket,  Rhode Island",1984-09-30,1923
HCA,HCA Healthcare,372.13,82550000000,12.8,Health Care,Health Care Facilities,"Nashville,  Tennessee",2015-01-27,1968
DOC,Healthpeak Properties,19.79,13640000000,61.8,Real Estate,Health Care REITs,"Denver,  Colorado",2008-03-31,1985
HSIC,Henry Schein,77.45,8820000000,23.4,Health Care,Health Care Distributors,"Melville,  New York",2015-03-17,1932
HSY,Hershey Company (The),184.58,37440000000,34.4,Consumer Staples,Packaged Foods & Meats,"Hershey,  Pennsylvania",1957-03-04,1894
HPE,Hewlett Packard Enterprise,49.2,65150000000,46.0,Information Technology,"Technology Hardware,  Storage & Peripherals","Houston,  Texas",2015-11-02,2015
HLT,Hilton Worldwide,343.1,78110000000,52.4,Consumer Discretionary,"Hotels,  Resorts & Cruise Lines","Tysons Corner,  Virginia",2017-06-19,1919
HD,Home Depot (The),310.78,309880000000,22.1,Consumer Discretionary,Home Improvement Retail,"Atlanta,  Georgia",1988-03-31,1978
HON,Honeywell,213.97,135580000000,34.1,Industrials,Industrial Conglomerates,"Charlotte,  North Carolina",1957-03-04,1906
HRL,Hormel Foods,23.62,13000000000,27.8,Consumer Staples,Packaged Foods & Meats,"Austin,  Minnesota",2009-03-04,1891
HST,Host Hotels & Resorts,24.62,16860000000,16.7,Real Estate,Hotel & Resort REITs,"Bethesda,  Maryland",2007-03-20,1993
HWM,Howmet Aerospace,251.9,100790000000,58.4,Industrials,Aerospace & Defense,"Pittsburgh,  Pennsylvania",2016-10-21,1888
HPQ,HP Inc.,25.58,23390000000,9.5,Information Technology,"Technology Hardware,  Storage & Peripherals","Palo Alto,  California",1974-12-31,1939
HUBB,Hubbell Incorporated,476.82,25200000000,28.2,Industrials,Industrial Machinery & Supplies & Components,"Shelton,  Connecticut",2023-10-18,1888
HUM,Humana,350.08,42030000000,37.3,Health Care,Managed Health Care,"Louisville,  Kentucky",2012-12-10,1961
LRCX,Lam Research,1012.44,133900000000,36.8,Information Technology,Semiconductor Materials & Equipment,"Fremont,  California",2012-06-29,1980
LW,Lamb Weston,102.55,14890000000,12.4,Consumer Staples,Packaged Foods & Meats,"Eagle,  Idaho",2016-11-10,1950
LVS,Las Vegas Sands,47.88,36500000000,22.1,Consumer Discretionary,Casinos & Gaming,"Las Vegas,  Nevada",2004-12-15,1988
LDOS,Leidos Holdings,150.33,20500000000,16.9,Industrials,Research & Consulting Services,"Reston,  Virginia",2020-08-21,1969
LEN,Lennar,162.44,45500000000,10.2,Consumer Discretionary,Homebuilding,"Miami,  Florida",2005-10-04,1954
LLY,Eli Lilly,846.12,801000000000,127.4,Health Care,Pharmaceuticals,"Indianapolis,  Indiana",1971-12-31,1876
LIN,Linde plc,441.22,215000000000,34.8,Materials,Industrial Gases,"Guildford,  United Kingdom",1992-07-01,1879
LYV,Live Nation Entertainment,102.44,23400000000,75.3,Communication Services,Movies & Entertainment,"Beverly Hills,  California",2019-12-23,2010
LKQ,LKQ Corporation,47.88,12800000000,13.4,Consumer Discretionary,Distributors,"Chicago,  Illinois",2016-05-23,1998
LMT,Lockheed Martin,498.22,123000000000,17.6,Industrials,Aerospace & Defense,"Bethesda,  Maryland",1957-03-04,1912
L,Loews Corporation,76.44,17400000000,11.2,Financials,Multi-line Insurance,"New York City,  New York",1957-03-04,1959
LOW,Lowe's,243.55,140000000000,18.1,Consumer Discretionary,Home Improvement Retail,"Mooresville,  North Carolina",1984-02-28,1921
LULU,Lululemon Athletica,388.22,49300000000,28.4,Consumer Discretionary,Apparel Retail,"Vancouver,  Canada",2018-10-31,1998
LYB,LyondellBasell,98.44,32300000000,14.7,Materials,Specialty Chemicals,"Rotterdam,  Netherlands",2010-10-14,2007
MTB,M&T Bank,151.22,26000000000,9.8,Financials,Regional Banks,"Buffalo,  New York",2004-04-08,1856
MRO,Marathon Oil,27.44,15500000000,10.1,Energy,Oil & Gas Exploration & Production,"Houston,  Texas",1957-03-04,1887
MPC,Marathon Petroleum,168.55,66400000000,8.4,Energy,Oil & Gas Refining & Marketing,"Findlay,  Ohio",2011-07-01,1887
MKTX,MarketAxess,217.44,16400000000,33.2,Financials,Financial Exchanges & Data,"New York City,  New York",2019-07-01,2000
MAR,Marriott International,247.33,72900000000,24.6,Consumer Discretionary,"Hotels,  Resorts & Cruise Lines","Bethesda,  Maryland",1998-06-29,1927
MMC,Marsh & McLennan,209.44,103000000000,26.8,Financials,Insurance Brokers,"New York City,  New York",1957-03-04,1905
MLM,Martin Marietta Materials,604.22,37400000000,32.1,Materials,Construction Materials,"Raleigh,  North Carolina",2014-07-02,1993
MAS,Masco,66.44,14800000000,17.2,Industrials,Building Products,"Livonia,  Michigan",1981-03-31,1929
MA,Mastercard,497.22,468000000000,35.4,Financials,Transaction & Payment Processing Services,"Purchase,  New York",2006-05-25,1966
MTCH,Match Group,33.44,9300000000,17.8,Communication Services,Interactive Media & Services,"Dallas,  Texas",2020-09-21,1986
MKC,McCormick & Company,66.22,17700000000,28.1,Consumer Staples,Packaged Foods & Meats,"Hunt Valley,  Maryland",1978-03-31,1889
MCD,McDonald's,287.44,208000000000,24.2,Consumer Discretionary,Restaurants,"Chicago,  Illinois",1976-06-30,1940
MCK,McKesson,574.22,76000000000,17.3,Health Care,Health Care Distributors,"Irving,  Texas",1994-08-31,1833
MDT,Medtronic,83.44,111000000000,27.1,Health Care,Health Care Equipment,"Dublin,  Ireland",1986-09-30,1949
MRK,Merck & Co.,131.22,333000000000,89.4,Health Care,Pharmaceuticals,"Kenilworth,  New Jersey",1957-03-04,1891
META,Meta Platforms,498.33,1270000000000,28.8,Communication Services,Interactive Media & Services,"Menlo Park,  California",2013-12-21,2004
MET,MetLife,72.44,52000000000,23.1,Financials,Life & Health Insurance,"New York City,  New York",2000-04-07,1868
MTD,Mettler-Toledo,1404.22,31000000000,38.2,Health Care,Life Sciences Tools & Services,"Columbus,  Ohio",2016-09-06,1989
MGM,MGM Resorts,40.22,14000000000,17.4,Consumer Discretionary,Casinos & Gaming,"Las Vegas,  Nevada",2017-07-26,1986
MCHP,Microchip Technology,92.44,50000000000,21.8,Information Technology,Semiconductors,"Chandler,  Arizona",2011-09-19,1989
MU,Micron Technology,117.22,128000000000,14.1,Information Technology,Semiconductors,"Boise,  Idaho",1994-09-27,1978
MSFT,Microsoft,421.12,3120000000000,35.4,Information Technology,Systems Software,"Redmond,  Washington",1994-06-01,1975
MAA,Mid-America Apartment Communities,147.22,17000000000,28.1,Real Estate,Multi-Family Residential REITs,"Memphis,  Tennessee",2016-12-02,1977
MRNA,Moderna,127.44,48000000000,38.8,Health Care,Biotechnology,"Cambridge,  Massachusetts",2020-07-20,2010
MHK,Mohawk Industries,99.22,6300000000,12.4,Consumer Discretionary,Home Furnishings,"Calhoun,  Georgia",2013-12-23,1878
MOH,Molina Healthcare,345.22,21000000000,19.1,Health Care,Managed Health Care,"Long Beach,  California",2014-09-18,1980
TAP,Molson Coors,52.44,11300000000,12.2,Consumer Staples,Brewers,"Chicago,  Illinois",1976-06-30,1873
MDLZ,Mondelez International,71.22,97000000000,22.4,Consumer Staples,Packaged Foods & Meats,"Chicago,  Illinois",2012-10-02,1923
MPWR,Monolithic Power Systems,773.22,36000000000,55.1,Information Technology,Semiconductors,"Kirkland,  Washington",2016-11-30,1997
MNST,Monster Beverage,53.22,56000000000,34.4,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Corona,  California",2012-06-28,1935
MCO,Moody's,426.22,78000000000,41.2,Financials,Financial Exchanges & Data,"New York City,  New York",2004-10-05,1909
MS,Morgan Stanley,98.22,160000000000,16.8,Financials,Investment Banking & Brokerage,"New York City,  New York",2010-06-28,1935
MOS,Mosaic Company (The),33.22,11000000000,9.1,Materials,Fertilizers & Agricultural Chemicals,"Tampa,  Florida",2011-10-03,2004
MSI,Motorola Solutions,348.22,58000000000,32.8,Information Technology,Communications Equipment,"Chicago,  Illinois",2011-01-04,1928
MSCI,MSCI Inc.,529.22,42000000000,40.1,Financials,Financial Exchanges & Data,"New York City,  New York",2010-11-15,1969
NDAQ,Nasdaq,58.22,33000000000,22.1,Financials,Financial Exchanges & Data,"New York City,  New York",2002-07-22,1971
NFLX,Netflix,643.22,280000000000,42.2,Communication Services,Movies & Entertainment,"Los Gatos,  California",2010-12-20,1997
NEM,Newmont Corporation,42.22,33000000000,15.4,Materials,Gold,"Denver,  Colorado",1969-06-30,1921
NWSA,News Corp (Class A),21.22,12000000000,14.1,Communication Services,Publishing,"New York City,  New York",2013-06-28,2013
NWS,News Corp (Class B),20.22,11000000000,13.8,Communication Services,Publishing,"New York City,  New York",2013-06-28,2013
NKE,Nike,97.22,150000000000,28.2,Consumer Discretionary,Apparel,"Beaverton,  Oregon",1988-11-30,1964
NI,NiSource,27.22,11000000000,17.1,Utilities,Multi-Utilities,"Merrillville,  Indiana",1999-11-30,1912
NTRS,Northern Trust,83.22,17000000000,15.8,Financials,Asset Management & Custody Banks,"Chicago,  Illinois",1984-07-31,1889
NOC,Northrop Grumman,462.22,69000000000,18.4,Industrials,Aerospace & Defense,"Falls Church,  Virginia",1957-03-04,1939
NRG,NRG Energy,52.22,12000000000,10.2,Utilities,Independent Power Producers & Energy Traders,"Houston,  Texas",2010-01-04,1989
NUE,Nucor,176.22,44000000000,12.1,Materials,Steel,"Charlotte,  North Carolina",1985-06-30,1905
NVDA,NVIDIA,132.22,3200000000000,68.4,Information Technology,Semiconductors,"Santa Clara,  California",2001-11-30,1993
NVR,NVR Inc.,713.22,24000000000,15.2,Consumer Discretionary,Homebuilding,"Reston,  Virginia",1993-12-31,1980
NXPI,NXP Semiconductors,232.22,60000000000,21.8,Information Technology,Semiconductors,"Eindhoven,  Netherlands",2010-08-06,2006
ORLY,O'Reilly Automotive,1044.22,62000000000,26.8,Consumer Discretionary,Automotive Retail,"Springfield,  Missouri",2009-03-27,1957
OXY,Occidental Petroleum,62.22,55000000000,14.2,Energy,Integrated Oil & Gas,"Houston,  Texas",1982-12-31,1920
ODFL,Old Dominion Freight Line,412.22,45000000000,33.1,Industrials,Cargo Ground Transportation,"Thomasville,  North Carolina",2013-12-09,1934
OMC,Omnicom Group,86.22,18000000000,12.8,Communication Services,Advertising,"New York City,  New York",1997-07-01,1986
ON,ON Semiconductor,72.22,31000000000,17.4,Information Technology,Semiconductors,"Phoenix,  Arizona",2010-08-23,1999
OKE,ONEOK,82.22,46000000000,17.1,Energy,Oil & Gas Storage & Transportation,"Tulsa,  Oklahoma",1997-11-28,1906
ORCL,Oracle,142.22,390000000000,28.1,Information Technology,Systems Software,"Austin,  Texas",1989-08-31,1977
OTIS,Otis Worldwide,92.22,38000000000,27.2,Industrials,Industrial Machinery & Supplies & Components,"Farmington,  Connecticut",2020-04-03,1853
PCAR,PACCAR,112.22,59000000000,13.8,Industrials,Construction Machinery & Heavy Transportation Equipment,"Bellevue,  Washington",1980-12-31,1905
PANW,Palo Alto Networks,322.22,110000000000,55.1,Information Technology,Systems Software,"Santa Clara,  California",2012-07-20,2005
PARA,Paramount Global,12.22,8000000000,8.4,Communication Services,Broadcasting,"New York City,  New York",2014-12-31,2019
PAYC,Paycom,182.22,11000000000,38.1,Information Technology,Application Software,"Oklahoma City,  Oklahoma",2020-01-28,1998
PYPL,PayPal,68.22,74000000000,17.4,Information Technology,Transaction & Payment Processing Services,"San Jose,  California",2015-07-20,1998
PEP,PepsiCo,182.22,250000000000,25.1,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Purchase,  New York",1957-03-04,1898
PFE,Pfizer,29.22,160000000000,14.8,Health Care,Pharmaceuticals,"New York City,  New York",1957-03-04,1849
PM,Philip Morris International,92.22,140000000000,17.2,Consumer Staples,Tobacco,"Stamford,  Connecticut",2008-03-17,2008
PSX,Phillips 66,142.22,62000000000,8.9,Energy,Oil & Gas Refining & Marketing,"Houston,  Texas",2012-04-12,1917
PNW,Pinnacle West Capital,72.22,8200000000,15.1,Utilities,Electric Utilities,"Phoenix,  Arizona",1985-11-30,1985
PXD,Pioneer Natural Resources,232.22,54000000000,12.8,Energy,Oil & Gas Exploration & Production,"Irving,  Texas",2008-09-24,1997
PNC,PNC Financial Services,152.22,61000000000,12.4,Financials,Diversified Banks,"Pittsburgh,  Pennsylvania",1988-04-30,1845
